row,fb_id,name,definition,candidate_1,candidate_2,YOUR_PICK,YOUR_NOTE
11,a166d73f9b110dd34e37ae63a9462f97d100ba5e5d093cde306e5348fe27d9c6,Collegial Professional Groups and Social Identification,"Professional or colleague groups where members are collectively identified and held responsible for each other's conduct, creating a team-like structure with shared reputation and disciplinary mechanisms.",organizational theory,sociology,,
12,87afff91a43dd2b9756613dccc1e14ff428af9048bd9a7c60aba8b743c2b32a9,Context As Narrative Construction,"The principle that human experience is fundamentally constructed through narrative and story, with context emerging from the interplay between language, environment, and meaning-making processes.",cognitive science,semiotics,,
13,eb8a62ceb5b3115af437a9422094d06be411a874a0e297b977f98c74a73a58f4,Context-dependent Place Meaning,"The meaning and intended experience of a physical space is determined by its structural design and environmental cues, which can lead to misinterpretation when visitors don't understand the contextual semantics of that environment.",visual semiotics,semiotics,,
14,8dee1eff197838443c3d78c1e6c3178f6e3fe9c76882ca1c19f059cd3b050bd5,Correspondence Between Perceiver and World,"A fundamental alignment exists between the perceiver's internal representation and the external world, enabling meaningful perception and communication. This correspondence bridges the gap between subjective experience and objective reality.",visual perception,cognitive science,,
15,9607677619f815b80eb8a9d35fcfe91cb19af9fcf88be4fc5a5d5eccf631ad48,Cost-benefit Optimization Framework,"A structured approach to evaluating solutions by quantifying their financial impact through cost calculations, scalability assessments, and optimization constraints. The framework enables decision-making between prebuilt tools and custom solutions by measuring tangible returns and resource limitations.",decision making,operations research,,
16,9dc18c0c227a73e4be34e283d49743d696b956e93e8b820089f910e7141dbb57,Counterculture Marketing Tactics,Advertising agencies that deliberately incorporate countercultural imagery and themes into their campaigns to appeal to consumers who reject traditional marketing approaches.,cultural design,cultural studies,,
17,2eb4ce4fd490cf9386478a73b1da83a136d12b6e1e76069dcb85479c1367fd06,Cross-domain Conceptual Transfer,"Effective problem-solving requires transferring core concepts from one domain to another, particularly when the target domain has limited available frameworks. This principle describes how broad intellectual patterns can be applied across different contexts to solve specific problems.",interdisciplinary studies,cognitive science,,
18,85de1723a84544393edd319a89cac25d5333fe66983401fb3b1655c59f22ed9b,Cultural Interpretation and Semiotic Background,A principle explaining that new cultural messages can only be interpreted within the context of existing cultural memory and that the unknown can only become known when partially familiar.,semiotics,visual semiotics,,
19,b06cbbf11e209b66a5b3cc0de9ffd50f012af65513fe0d0b69320610f0a2b051,Divergent and Convergent Thinking in Design,A principle describing the fundamental pattern in design processes that involves alternating between generating many possibilities (divergent thinking) and narrowing down to specific solutions (convergent thinking).,design thinking,creative process,,
20,4a6f26991d30d95d55c1f91ce5485854d6d8b6933c313958c0c75ca3aab5e99e,Economics As Evolutionary Science,"A theoretical framework that positions economics as an evolutionary science rather than a static optimization-based discipline, emphasizing the need for dynamic methods and biological analogies.",evolutionary biology,economics,,
21,19fa313d4c2f5755666c8101bfaf5cd9255b778eda56497a3ff0852cbba4bbf0,Evidence-based Evaluation in Organizational Learning,Organizational learning depends on commitment to evidence-based evaluation rather than reliance on intuition or experience alone.,organizational theory,research methodology,,
22,614e9613954bd32abed28e9a7d8325e8a7dc6ce7e422ea09406cae002643800a,Exact Match Evaluation Variation,"A variation of evaluation methodology that accepts any output containing the reference response as a valid match, rather than requiring exact string matching.",research methodology,machine learning,,
23,9b5949f4d3f464f956b9206cb293f05b1152ffcf3200712ad838d58d579f1ac9,Finite Resource Depletion Through Consumption,"When a finite resource is consumed at an increasing rate, it becomes depleted or degraded, leading to environmental and societal consequences. The principle describes how the exploitation of limited resources creates systemic problems that threaten long-term sustainability.",systems thinking,ecology,,
24,f9c6023b0ef266155d682bcce13aa0d87e97f036a12b75bda7467d63bdeafd36,Fitness-proportional Selection,"A genetic algorithm technique where individuals are selected for reproduction based on their relative fitness, with higher-fitness individuals having a greater probability of being chosen. This method mimics natural selection by favoring better-performing solutions.",evolutionary biology,artificial intelligence,,
25,38e67d88d6d237fdfa85d1429cb9aa63d66740b86328f506211bd8b63e7c6e8a,Force-driven Motion Change,"Changes in an object's motion state — including speed, direction, or rotation — are exclusively caused by forces acting upon that object. Forces are defined as pushes or pulls that alter the physical trajectory of matter in response to applied energy or interaction.",computational physics & simulation,theoretical physics,,
26,47eaef5e4f8a6cf340d8625d4d145cddb6ef993452725d303d0f5f5ed9ef355e,Fourier Transform Frequency Domain Processing,"The Fourier transform enables efficient processing of signals by converting time-domain operations into frequency-domain computations, where convolution becomes multiplication and signal analysis is simplified. This transformation is particularly valuable for audio and signal processing applications where computational efficiency and frequency component analysis are critical.",communication theory,computational physics & simulation,,
27,708389ee28b38505262a287d8bea70802cf06e44f4f1330c9bba4bcce10901fe,Geometric Proof Synthesis,"Multiple geometric proofs of the same theorem or principle can be synthesized into a unified framework that reveals deeper structural relationships. This synthesis combines different approaches—such as lever-based mechanics, calculus-based integration, and classical Euclidean methods—into a coherent understanding that transcends individual proof techniques.",systems thinking,computational geometry,,
28,b427f9cc79607c7f0bab37b68d52f87bd36cdfcbe37efa4aa35d14a2d08d68cc,Good Design As Business Strategy,The principle that effective design serves both aesthetic and commercial purposes by creating visual identity that communicates desired perceptions and business outcomes.,visual semiotics,design psychology,,
29,8591af941fdae62859e0a25235ec33a375c41ee9f1fcd1357225a721f9b41c59,Human-centered Design Limitations,"Human-centered design approaches often fail to account for the broader ecological and systemic consequences of design decisions, treating human needs as the primary or sole constraint. This perspective can lead to the depletion or extinction of non-human elements and overlook the importance of endings and long-term societal responsibility.",design thinking,systems thinking,,
30,54bf0952a31a425420cced1da7c1eab03d39b9ede326a7b768b6278249ab5eb8,Institutional Business Model Influence on Media Content,"The financial and institutional funding sources of media platforms significantly shape the content they produce and distribute, particularly in how they evaluate and present cultural works like books, films, exhibitions, and performances.",media studies,political economy,,
31,99bfb5b86e2e78f7cf7beceef8dd782673be12d5e6db5ff2abc141ed70925682,Inverse Square Law of Light Intensity,The intensity of light decreases proportionally to the square of the distance from the source. This relationship governs how light behaves as it travels through space and affects both photographic measurements and visual rendering in animation.,computational physics & simulation,theoretical physics,,
32,dec446fd98e0c78a422db8e21733068041bd4a4b0c3cdca399d85218ce651954,Iterative Design Refinement,"Design processes improve through repeated cycles of experimentation, feedback, and adjustment. Each iteration builds on previous insights to refine solutions and address emergent challenges.",design thinking,creative process,,
33,f94917ec48727f11b0363fa03ffe96a3118d29c3057991ecd881dd57ccb75cbf,Land Ethic and Ecological Symbiosis,The relationship between humans and land should be governed by an ethical framework that recognizes interdependent relationships and cooperative mechanisms in ecological systems.,ecology,ecology,,
34,fba10d9bd2f3351fb1a94db5847b14d6ecb29cb37144f888ec9893e9c0d5f2b5,Mediocristan Vs Extremistan Distribution,"Systems can be classified into two fundamentally different types based on how individual events contribute to overall outcomes: Mediocristan systems where individual variations are bounded and additive, and Extremistan systems where a few extreme events dominate the total distribution.",systems thinking,risk management,,
35,06a3b2e8d6d019fb57f1ac1fd5028603acb60db0f488ca68e44947444996eb03,Message Decoding and Interpretation,"A principle describing how messages are encoded and decoded, with some codes being more accessible than others due to familiarity and context.",semiotics,communication theory,,
36,040a95cb87be52e87be9a8b727c604a224f5aece45e4d7b6ff8a655089798d82,Metaphorical Conceptualization From Cultural Traces,"Abstract concepts are formed through metaphorical mapping from concrete, culturally significant experiences or narratives. These metaphors persist in everyday language and symbolic systems, often retaining vestiges of their original cultural or historical context even when the source meaning is obscured.",cultural design,cognitive science,,
37,bef863827c3ca3d1d53929806fc341cf83e9170109ea836b3b53a6ba19f2f4d8,Metaphorically Selling How to Use the Ma,"Sales presentations often use analogies and metaphors to explain complex technical concepts by comparing them to familiar, everyday experiences. This principle describes a specific rhetorical technique where technical features are framed through relatable comparisons to make abstract capabilities more tangible and persuasive.",communication theory,visual semiotics,,
38,c688261d436af4839712052f2a66fc0989a752f4ae6f12de8f18f615d9f0bccd,Micro-tasking for Human Rights Documentation,"Micro-tasking enables large-scale human rights documentation by breaking complex data analysis into small, manageable tasks that can be distributed to diverse global communities of digital activists. The approach allows organizations like Amnesty to engage thousands of contributors in processing vast datasets from multiple sources.",organizational theory,systems thinking,,
39,925505e3f317d40f1ea188cb174d6517426816c16311fcd2bef54a566511bbd2,Mindset Correction in Casting,A casting director can successfully realign a performer's mindset to match the role's demands by addressing emotional or psychological barriers that prevent authentic character embodiment. The principle describes how a director's intervention can shift a performer's internal state to align with the character's required intensity and commitment.,psychology,performing arts,,
40,67a213e128469ee1b0d4fdb640e2d427c7e678d55fbe615022b4fe3689afac7e,Multimodal Conceptual Representation,"Visual and linguistic semiotic systems can independently represent conceptual structures while maintaining structural correspondence, enabling each modality to supplement and reinforce the other in composite texts. This dual representation allows for the expression of complex ideas through complementary semantic channels.",semiotics,visual semiotics,,
41,dd6bb15b6c947e76a6b0b981d3e6ba59874c267602480009c46db5014f8fb228,Mythic Cosmogonic Narrative Structure,"Cosmogonic myths function as foundational narratives that explain the origin and structure of the world, assigning human roles within a cosmic order. These myths are not static but evolve through cultural transmission, adapting to new contexts and media while maintaining core structural elements.",literary theory,cultural studies,,
42,5d1f19a335fd3674128c099e085c6db45de4bd929dd494eddec8e5c078ff53e6,Natural Pattern Recognition,"Living systems and human perception naturally recognize and respond to recurring structural patterns in their environment, whether in geometry, form, or biological organization. These patterns emerge from fundamental physical and evolutionary processes and guide both design and understanding.",visual perception,cognitive science,,
43,18464dd5e0cac55caa573d9a62df550fd56ba3d184723717d6e556527f4b19e9,Network Robustness Through Structural Diversity,Networks maintain functional integrity across structural variations because their essential properties emerge from the collective relationships rather than specific node arrangements. The same network can be represented in multiple ways without altering its core behavior or meaning.,complex adaptive systems,systems thinking,,
44,b3bea285689443fddcb0aa3fce4e836d990c8a13a5ffbc81a76fe71899c916f1,Orange as Cultural and Emotional Symbol in Indian,The strategic use of orange color in Indian wedding films to represent cultural celebration and emotional storytelling through the juxtaposition of vibrant visual elements with subtle emotional narratives.,visual semiotics,color theory,,
45,c0956f337071ffb7528aef7e5c43f6b592a80bfd4f15be18bd33cea56830419d,Perpetrator-victim Dynamic in Historical Conflict,"A pattern where perpetrators of harmful actions either view their behavior as arbitrary and meaningless or as intentionally malicious and brutal, while simultaneously justifying their own retaliatory actions as morally appropriate and necessary.",sociology,psychology,,
46,7db1f4f4d042606b4bf9add4d1b503859f8ebb9012ef338dc64779d539e64be4,Physiological Feedback in Therapeutic Contexts,Therapeutic interventions can be informed by real-time physiological monitoring to understand emotional and psychological states during treatment. This approach allows for direct observation of how mental processes manifest in bodily responses.,psychology,neuroscience,,
47,dc759ae99642b3d8ed68fff6d42ec69fade917e309f12ba146a52e5b20a99075,Proactive Maintenance Over Reactive Crisis,Regular maintenance of systems or processes prevents small problems from escalating into catastrophic failures. The principle emphasizes that early intervention is more effective than waiting for visible signs of failure.,risk management,systems thinking,,
48,0b432ef20f5e314c734fa28040a3af9ba1dc21c1abbbd3e6a597fff4d64c4f41,Problem-finding As Creative Art,Creative research and innovation are fundamentally about identifying solvable problems rather than solving pre-existing ones. This approach treats problem identification as a skill that can be taught and refined through mentorship and practice.,creative process,research methodology,,
49,1e2b13ff3fb73875257162ff344ab13605ced4693d2eea229b37c5b89f2a220f,Reversal Thinking,"Effective problem-solving often requires reversing the direction of reasoning or approach, particularly when conventional methods fail to address fundamental contradictions. This principle suggests that breakthrough insights emerge not from incremental adjustments but from radical reframing of assumptions.",decision making,creative process,,
50,0e6143f7b6270b1257d75cac6229e90e070af0b0da1ca9a21eb979febbce1678,Self-referential Systemic Patterns,"Certain systemic entities exhibit recursive or circular behavioral patterns that reflect self-awareness, self-modification, or self-observation as core operational characteristics. These patterns manifest as paradoxes, circular causality, or meta-level feedback loops that define the system's identity and function.",complex adaptive systems,systems thinking,,
51,a42ddc7fb5a116c623e9ab16b8649864390d1c98fea355a8bf63a1837d357ace,Semiotics of Clothing and Food,"Clothing and food function as semiotic systems where physical items become signs carrying meaning beyond their practical function, serving as vehicles for communication and social expression.",visual semiotics,semiotics,,
52,fa707344de439a1d2dd2a22184ec3add3a015b4862bdbf4786fccfb0d848d86c,Steady State Earth System,"The Earth operates as a steady state system where the inflow of energy equals the outflow, and material imports from space equal exports, allowing for qualitative development but not aggregate quantitative growth.",ecology,systems thinking,,
53,b3caff68aaf5e73e56de97958e3aeda9fade1dd786be1af643541091d9fb53dc,Structural Parasitism in Systems,"When systems fail to adequately address structural imbalances or power dynamics, they create conditions where parasitic behaviors emerge and thrive, often at the expense of the broader system's health and stability. This principle describes how systemic weaknesses enable exploitation and dysfunction.",complex adaptive systems,systems thinking,,
54,9d5e48deaa4b7cd378a60b0ae8ecb971fa0663d500c10ccdab9da8a32b7152c2,Superformula Mathematical Visualization,A mathematical equation that generates a wide variety of forms found in nature by controlling parameters that define the shape and structure of geometric patterns.,computational geometry,generative design,,
55,0f2a93d0bf24ecfe01301946c136d236e5ca16272ef8ff2bb92d5abaf9ce0ed6,Template Design Balance Principle,A design principle for motion graphics templates that balances user customization with structural integrity by allowing content changes while restricting detailed design modifications.,human-computer interaction,motion & time,,
56,a6c8175af9cebb11145f603bec09b0817fb575051250374c41516e6fc56ff95e,The Law of Truly Large Numbers,"The principle that with a large enough number of opportunities, every event that can happen will eventually occur, making seemingly miraculous coincidences statistically predictable.",research methodology,operations research,,
57,92d174512d56ec751c5a5a21d16d454830477d59f7de27a901bca88bf942f47c,Third Currency Flexibility,"In personal and professional value exchange, flexibility serves as a third fundamental currency alongside time and money, enabling individuals to renegotiate their contribution and compensation in ways that preserve autonomy and adapt to changing circumstances.",economics,strategic thinking,,
58,ca36564736360012d1b140e657b01fcf06c9cdc696637304f21044b1d49769d4,Time Pressure in Scientific and Engineering Development,"A principle describing how compressed timelines between scientific discovery and engineering implementation prevent adequate real-world testing, leading to rushed deployment of unvalidated systems.",research methodology,systems engineering,,
59,e2d7c4b0ccb93b1e730facd7be5dea61e3c29774bc1a6ad0f419b9a3f31c4f10,Total System Runaway Sequence,"A system that has expanded to involve the entire social order and vital functions of a nation, becoming so integrated that it cannot be stopped without causing massive disruption and must continue growing to maintain its operation.",complex adaptive systems,political economy,,
60,897073bd7b0c920b241096e5061d04c267389f646efa15965c49aa3db4f5b238,User-centric Outcome Mapping,"Effective product design requires identifying and prioritizing the primary outcomes users seek, then structuring the user journey to directly support those outcomes rather than following generic design patterns or internal process incentives. This principle emphasizes aligning product features with user intent over organizational metrics or copycat design approaches.",design psychology,design thinking,,
61,7bff3b300bfd84b65e2878b362da2798844fb6ca017314510afec9bfbf2d45b3,Virtual Reality Phobia Desensitization,A principle describing how virtual reality simulations can be used for progressive phobia desensitization by controlling the degree of presence and enabling instant exit from stressful environments.,psychology,health & medicine,,
62,ec970e76df207748b524769247613a2de1a0a1f9f2923707939cf1c9c9f96794,Visual-verbal Syntactic Equivalence,"Both visual and verbal modes of communication follow structurally similar organizational principles, with each mode having its own grammatical systems that mirror the other in function and form. The principle recognizes that visual and verbal modes are not hierarchically arranged but exist as distinct yet equivalent means of expressing related meanings.",semiotics,visual semiotics,,
63,fc5376052c9db41392d48d0327290eb0b4daf239d71f59a7b5b94b7fc72d979b,Von Restorff Effect,A cognitive phenomenon where items that stand out from their context or differ from typical experiences are better remembered than items that blend in with their surroundings.,design psychology,psychology,,
