#,item_id,name,DEFINITION,APPLICATION,MECHANISM,BOUNDARY,SOURCE EXCERPT,len,CT (1-7),DISC (1-62),FORM (1-4),conf_ct,conf_disc,conf_form,note_codes,reviewer,date
11,R011,Agentic Decision-making Through Contextual Retrieval,"Agentic systems make decisions by combining real-time contextual understanding with dynamically retrieved information from external sources, enabling adaptive responses to complex, uncertain environments. This approach allows agents to access domain-specific knowledge without requiring full internal encoding of all possible information.",When an agent encounters a novel situation with distributed knowledge → retrieve relevant external data and integrate it into its internal state to inform decision‑making.,"An agent evaluates its current context and identifies relevant information needs, then retrieves specific data from external sources using retrieval-augmented generation (RAG) or similar mechanisms. The retrieved information is integrated with the agent's internal state to inform decision-making. This process enables agents to respond to novel situations by accessing just-in-time knowledge rather ",Applies when agents operate in environments where relevant information is distributed across external sources and cannot be fully encoded internally. Fails when the environment is fully predictable and all necessary information can be encoded within the agent's internal model.,"[Agent-Powered Growth Deploy AI Agents That Build Your Marketing Pipeline 247 (Stu Sjouwerman) (z-library.sk, 1lib.sk, z-lib.sk).md] Agentic systems make decisions by combining real-time contextual understanding with dynamically retrieved information from external sources, enabling adaptive responses to complex, uncertain environments. This approach allows agents to access domain-specific knowledg",1708,principle,information retrieval,normative heuristic,1,1,1,,human,17.09.26
12,R012,Evolution of Game Art and Design,"Digital games have evolved to embrace diverse audiences, platforms, aesthetics, and purposes, transforming into a vibrant and exciting art form that encompasses varied design approaches and narrative techniques.","When observing a new game release that targets a broader demographic or platform, incorporate diverse artistic styles, narrative structures, and interactive mechanics to align with audience preferences and technological capabilities.","The evolution occurs through the adaptation of game design elements including graphics, animations, narratives, and interactive mechanics to accommodate increasingly diverse audience preferences and technological capabilities.",Applies to the transformation of digital games as an art form across different platforms and audience segments. Does not apply to specific game mechanics or technical implementations.,"[The Moving Image Workshop Introducing Animation, Motion Graphics and Visual Effects in 45 Practical Projects by Heather D. Freeman.md] Digital games have evolved to embrace diverse audiences, platforms, aesthetics, and purposes, transforming into a vibrant and exciting art form that encompasses varied design approaches and narrative techniques.",1204,noise drop,,,1,,,SUMMARY,human,17.09.26
13,R013,Innovation Fund Risk Management,A corporate innovation program that allows business unit managers to pursue entrepreneurial risks while maintaining their current performance targets and product offerings.,When a business unit manager wants to pursue an experimental initiative without jeopardizing current performance targets → allocate a portion of the innovation fund to the project and monitor both innovation metrics and existing KPIs.,"The innovation fund provides a dedicated resource pool for experimental initiatives that can be pursued without compromising existing business operations, allowing managers to take calculated risks while meeting established performance metrics.",Applies within large corporations with established business units that can support experimental ventures. Fails when the corporate structure does not allow for separate risk-taking funds or when business unit managers cannot balance innovation with current performance targets.,"[Creative Confidence Unleashing the Creative Potential Within Us All Tom Kelley, David Kelley liber3.md] A corporate innovation program that allows business unit managers to pursue entrepreneurial risks while maintaining their current performance targets and product offerings.",1208,principle,risk management,causal mechanism,0.4,1,,not sure if it's not process template,human,17.09.26
14,R014,Sacred Geometry and Symbolic Resonance,"Sacred geometries and symbols function as universal archetypes that resonate across cultures and epochs, encoding shared human experiences of cosmology, spirituality, and cosmic order. These forms manifest in both natural and constructed elements as expressions of fundamental truths about existence and the divine.","When encountering a cultural artifact or natural phenomenon that contains geometric patterns or symbols, interpret the design as part of a shared symbolic language and use it to infer underlying cosmological or spiritual meanings within that society.","This is a descriptive model of symbolic organization, not a causal mechanism. Sacred geometries and symbols form a cross-cultural taxonomy of spiritual and cosmological concepts that appear consistently across human societies. The model categorizes recurring patterns in sacred architecture, mythologies, and natural phenomena as expressions of a shared symbolic language rooted in universal human ex",Applies to cultural and religious systems where symbols and geometries are imbued with spiritual or cosmological meaning. Fails for purely functional or aesthetic design elements that lack symbolic resonance or spiritual significance.,"[epdf.tips_illustrated-dictionary-of-symbols-in-eastern-and-w.md] Sacred geometries and symbols function as universal archetypes that resonate across cultures and epochs, encoding shared human experiences of cosmology, spirituality, and cosmic order. These forms manifest in both natural and constructed elements as expressions of fundamental truths about existence and the divine.",1608,principle,semiotics,descriptive model,0.6,0.8,1,not sure if its not growth edge as well not sure if its not anthropology,human,17.09.26
15,R015,Long-term Strategic Planning in Different Industries,A comparative analysis of how different industries require different timeframes for strategic planning based on their capital requirements and operational characteristics.,When setting a strategic plan for a company → choose a planning horizon that matches the industry’s capital intensity and market dynamics.,"Industry-specific planning horizons vary dramatically - from decades for capital-intensive sectors like oil and gas to months for fast-moving technology sectors, reflecting differences in investment scale, regulatory environment, and market dynamics.",Applies to companies operating in capital-intensive or rapidly changing industries. Fails when companies incorrectly apply planning horizons from one industry to another or when they don't account for industry-specific constraints.,[Competitive Success -- Arjan Singh -- 2024 -- Forbes Books -- isbn13 9788887503258] A comparative analysis of how different industries require different timeframes for strategic planning based on their capital requirements and operational characteristics.,1050,principle,operations research,empirical pattern,0.8,0.8,0.8,"not sure if its not normative heuristic and not process template, also it can be strategic thinking  or decsion making discipline",human,17.09.26
16,R016,Modelans-modelandum Relationship,A semiotic relationship where one entity (modelans) stands for another (modelandum) with sufficient similarity that truths about the modelans can be attributed to the modelandum. This relationship enables inference and reasoning across different domains through structural analogy.,"When encountering a modelans that structurally resembles a modelandum, use the modelans to infer properties or behaviors of the modelandum in the target domain.","The modelans-modelandum relationship operates through structural correspondence — when two entities share enough common features or properties, a logical bridge allows inferences from one to the other. This is not merely metaphorical but involves a degree of similarity that makes the modelans a representative or proxy for the modelandum in specific contexts. The strength of this relationship depen","Applies when there is sufficient structural or functional similarity between the modelans and modelandum to support valid inference. Fails when the similarity is too weak or irrelevant to make meaningful cross-domain attributions (e.g., a cabbage having no meaningful resemblance to a king in practical or conceptual terms).",[Sebeok_Thomas_Signs_An_Introduction_to_Semiocs_2nd_ed_2001.md] A semiotic relationship where one entity (modelans) stands for another (modelandum) with sufficient similarity that truths about the modelans can be attributed to the modelandum. This relationship enables inference and reasoning across different domains through structural analogy.,1571,principle,semiotics,descriptive model,0.8,1,1,discipline also could be emerging since its also carries antropolgy,human,17.09.26
17,R017,Chemical Reaction Equation Automation,"A computational approach for automating the generation of differential equations from chemical reaction data, ensuring accuracy and reducing human error in complex simulations.","When a large set of chemical reactions is encoded in a structured format (e.g., punched cards or a database) → do run the automation program to extract reaction constants and generate the full system of ordinary differential equations for simulation.","The method involves creating a program that reads punched cards describing individual chemical reactions, extracts relevant constants and interactions, and automatically generates the complete set of differential equations needed for simulation, thereby eliminating errors in coefficient matching and ensuring all terms are properly accounted for.",Applies to computational chemistry and numerical simulation problems where large numbers of chemical reactions must be modeled. Fails when the reaction data is not properly encoded in punched cards or when the system cannot handle the complexity of the reactions involved.,"[The Art of Doing Science and Engineering Learning to Learn (Richard W. Hamming).md] A computational approach for automating the generation of differential equations from chemical reaction data, ensuring accuracy and reducing human error in complex simulations.",1310,principle,engineering,causal mechanism,0.6,1,1,"not sure if its process template, also flag this is too niche an an might be irrelevant for my personal future usecase as its too niche and nothing to do with any of my interest (design,business, personal improvements nor any of my fringe interests) so closer to noise drop",human,17.09.26
18,R018,Color and Typography Readability,"A principle that color contrast in typography affects readability and visual impact, requiring careful consideration of color relationships between text and background materials.","When designing printed or digital text, choose a color contrast that avoids extreme black‑on‑white or white‑on‑black combinations to prevent optical flicker; instead, use softer or complementary contrasts that enhance legibility and reader comfort.","The eye forms complementary images when reading text, and extreme contrast between black text and white stock creates optical illusions and flickering that can reduce readability, while softer contrasts or different color combinations can improve reading experience.",Applies to typography where color contrast affects readability and visual perception. Fails when color choices do not account for optical effects or when readers cannot distinguish text from background.,"[Graphic Design Theory Readings from the Field by Helen Armstrong.md] A principle that color contrast in typography affects readability and visual impact, requiring careful consideration of color relationships between text and background materials.",1146,principle,visual perception,causal mechanism,1,1,1,,human,17.09.26
19,R019,Scientific Research Evaluation Framework,"A comprehensive approach to critically assessing scientific studies that includes examining publication quality, methodology, and contextual factors to ensure reliable conclusions.","When reviewing a scientific paper → verify its publication credentials, scrutinize its experimental design, assess content comparability, and seek domain expert input if direct contact with the authors is unavailable.","The framework involves multiple steps: checking publication credentials (peer review, impact factor), analyzing experimental design, questioning content comparability, and consulting domain experts when direct contact with researchers is not possible.",Applies to the evaluation of scientific research to ensure quality and validity. Fails when researchers accept all published findings without critical examination or when they lack access to expert consultation.,"[The Truthful Art Data, Charts, and Maps for Communication Alberto Cairo liber3.md] A comprehensive approach to critically assessing scientific studies that includes examining publication quality, methodology, and contextual factors to ensure reliable conclusions.",1127,process template,,causal mechanism,1,,,,human,17.09.26
20,R020,Dynamic System Complexity,"When multiple interconnected elements simultaneously influence an industry or system, their interactions create a dynamic system characterized by complexity, non-linearity, and emergent properties that are difficult to predict or replicate. The system's behavior cannot be understood by analyzing individual components in isolation.","When a complex industry or ecosystem is observed where many actors, technologies, and regulations interact simultaneously, adopt a holistic systems‑thinking approach: map interdependencies, use scenario planning, and build adaptive governance rather than isolated optimization.","This is an empirical pattern describing how systems with interdependent components behave. The complexity arises from the combinatorial effects of multiple elements acting together rather than sequentially or independently. The interrelationships between elements amplify small changes into large-scale impacts, making the system's evolution unpredictable and resistant to simple modeling or copying.","Applies to systems where multiple elements interact and influence each other's outcomes (e.g., industries, innovation ecosystems, user experiences). Fails when elements operate independently or in linear sequences where cause-effect chains are clear and isolated.","[The Innovation Stack _ Building an Unbeatable Business One -- Jim McKelvey -- Penguin Random House LLC, [New York, NY], 2020 -- Penguin Publishing -- isbn13 9780593086735 -- 6367374a08dbe43b1a1c054f799cc015 -- Anna’s Archive.md] When multiple interconnected elements simultaneously influence an industry or system, their interactions create a dynamic system characterized by complexity, non-linearit",1838,principle,systems engineering,empirical pattern,0.8,1,0.8,,human,17.09.26
21,R021,Index Section,"A structured reference guide that organizes key terms, concepts, and topics from the text into an alphabetical index for easy navigation.","When a reader encounters a large academic text and needs to locate a specific term, concept, person, or place quickly, use the index to navigate the content efficiently.","The index provides a systematic organization of content by topic, person, place, and concept, allowing readers to quickly locate specific information within the larger text.","Applies to the organizational structure of academic or reference materials that include cross-referencing. Fails when the passage does not contain any extractable content related to principles, methods, or case studies.","[The Good Life Lessons from the World’s Longest Scientific Study of Happiness (Robert Waldinger, Marc Schulz).md] A structured reference guide that organizes key terms, concepts, and topics from the text into an alphabetical index for easy navigation.",953,quarantine,,,1,,,its valid fact but irrelevant,human,17.09.26
22,R022,Coupon Code Feature Placement Strategy,A prescriptive approach to positioning coupon code functionality in user workflows to maximize visibility and effectiveness.,"When designing an e-commerce checkout flow → place the coupon code field earlier in the process, before final checkout, to increase visibility and discount usage.","The strategy involves moving the coupon code feature earlier in the user process so that users can see and select their discount before proceeding to final checkout, making the discount more visible and accessible.",Applies to e-commerce and checkout process design where discount visibility and user behavior need to be optimized. Fails when the timing of discount presentation conflicts with user expectations or when the feature placement disrupts the natural flow of the purchase process.,[Design for how People Think (John Whalen).md] A prescriptive approach to positioning coupon code functionality in user workflows to maximize visibility and effectiveness.,951,principle,human-computer interaction,normative heuristic,1,0.6,0.8,not sure if the discipline is not related to behavioural economics,human,17.09.26
23,R023,Focused Action Selection,"Strategic focus requires identifying and prioritizing the few critical actions that will yield the highest business impact at any given moment, while maintaining awareness of long-term objectives. The principle emphasizes selective execution over broad activity, recognizing that most efforts produce diminishing returns.","When a team has multiple potential initiatives to pursue, identify the few actions that promise the highest business impact and focus resources on them, while still keeping long‑term goals in view.","This is a practical heuristic for prioritization: focusing on high-impact actions maximizes business outcomes by concentrating effort where it matters most. The approach involves distinguishing between strategic leverage points and low-value activities, with the understanding that execution quality matters more than quantity. It is a method for optimizing resource allocation under uncertainty, not","Applies when there is sufficient information to distinguish between high-impact and low-impact actions. Fails when uncertainty is so high that no meaningful prioritization can be made, or when the environment changes too rapidly for any prioritization to remain relevant.","[Continuous_Discovery_Habits_Discover_Products_that_Create_Teresa.md] Strategic focus requires identifying and prioritizing the few critical actions that will yield the highest business impact at any given moment, while maintaining awareness of long-term objectives. The principle emphasizes selective execution over broad activity, recognizing that most efforts produce diminishing returns.",1637,principle,strategic thinking,normative heuristic,1,1,0.8,,human,17.09.26
24,R024,Execution Gap From Technological Readiness,"Organizations can recognize disruptive technologies and invest in them, yet still fail to achieve market success when they do not align their execution strategy with the new technological paradigm. The principle identifies a gap between technological readiness and organizational capability to capitalize on innovation.",When an organization invests in a disruptive technology but its execution model remains unchanged → realign execution processes to match the new technology’s requirements.,"This is an empirical pattern, not a causal mechanism. Companies often observe disruptive forces and invest in the underlying technology, but fail to execute in ways that align with the new paradigm. The pattern shows that having the right technology and awareness does not guarantee success; the execution must match the innovation's requirements. The passages document this correlation across differ",Applies when organizations have the capability to recognize and invest in disruptive technologies but fail to adapt their execution process accordingly. Fails when the organization's core competencies and execution model are fundamentally incompatible with the new technology's requirements or when the innovation is not disruptive but rather an incremental improvement.,"[Monetizing Innovation - How Smart Companies Design the Product Around the Price{Madhavan Ramanujam, Georg Tacke}(2022){111968895} libgen.li.md] Organizations can recognize disruptive technologies and invest in them, yet still fail to achieve market success when they do not align their execution strategy with the new technological paradigm. The principle identifies a gap between technological read",1874,principle,strategic thinking,empirical pattern,1,1,0.8,the source text is fragmented,human,17.09.26
25,R025,Design for Management and Organizational Culture,"A framework for integrating design thinking into organizational management and decision-making processes, emphasizing the adoption of design vocabulary to transform business practices.","When a manager seeks to improve decision‑making processes → incorporate design thinking methods and terminology into meetings, strategy sessions, and problem‑solving workshops to reshape organizational culture.","The approach introduces design-oriented problem-solving methods into business contexts, requiring management education and practice to incorporate design terminology and processes to change organizational decision-making and cultural dynamics.",Applies to organizational management contexts where design thinking can be integrated. Fails when applied to purely technical or non-organizational contexts.,"[Design The Key Concepts (D. J. Huppatz).md] A framework for integrating design thinking into organizational management and decision-making processes, emphasizing the adoption of design vocabulary to transform business practices.",1027,principle,organizational theory,descriptive model,1,0.8,0.8,discipline also could be operation research,human,17.09.26
26,R026,Index of Motion Graphic Title Design Terms,"A comprehensive index of technical terms and concepts related to motion graphic title design for film and video production, organized alphabetically with cross-references.",When designing or studying motion graphic title sequences → use the index to locate specific technical terms and concepts quickly.,"The index organizes technical terminology and concepts in alphabetical order, providing cross-references to relevant sections and figures in the source material.",Applies to reference materials for motion graphic title design professionals. Fails when the index is incomplete or lacks cross-references to relevant content.,"[Creative Motion Graphic Titling for Film, Video, and the Web Dynamic Motion Graphic Title Design by Yael Braha, Bill Byrne.md] A comprehensive index of technical terms and concepts related to motion graphic title design for film and video production, organized alphabetically with cross-references.",924,noise drop,,,1,,,SUMMARY,human,17.09.26
27,R027,Decentralized Strategic Command,"Effective military strategy combines centralized strategic coherence with decentralized execution, where subordinates are given clear goals but not specific methods to achieve them. This approach enables rapid adaptation to changing conditions while maintaining overall mission alignment.","When leading a military or large organization in a dynamic environment → give subordinates clear strategic goals but not specific tactics, allowing them to adapt locally while staying aligned with the overall mission.","This is a normative heuristic for organizational design: giving subordinates strategic goals without prescribing tactical methods enables faster response to local conditions. The principle works by balancing the need for strategic direction with the benefits of local autonomy, allowing units to adapt to unforeseen circumstances while remaining aligned with higher objectives.","Applies when organizations face dynamic environments where local conditions differ from central planning. Fails when the strategic context is highly stable and predictable, or when subordinates lack the competence to make independent tactical decisions.","[Good StrategyBad Strategy (Rumelt, Richard) (z-library.sk, 1lib.sk, z-lib.sk).md] Effective military strategy combines centralized strategic coherence with decentralized execution, where subordinates are given clear goals but not specific methods to achieve them. This approach enables rapid adaptation to changing conditions while maintaining overall mission alignment.",1510,principle,leadership,normative heuristic,1,1,0.8,,human,17.09.26
28,R028,Gpu Acceleration Configuration,Configuring deep learning models to utilize GPU hardware acceleration requires specific device mapping parameters in the inference pipeline. The configuration enables parallel processing of text generation tasks on CUDA-capable hardware.,"When deploying a Hugging Face transformers pipeline for text generation on a system with CUDA‑capable GPUs, set the device_map to 'cuda' and launch the Docker container with --gpus=all to offload model operations to GPU memory, enabling faster inference.","The transformers library's pipeline function accepts a device_map parameter that directs model execution to specific hardware devices. When set to 'cuda', the model operations are offloaded to GPU memory and processing units, enabling faster inference through parallel computation. The docker container must be launched with --gpus=all to expose all available GPUs to the running application.","Applies when using the Hugging Face transformers library with CUDA-compatible hardware. Fails when the system lacks GPU support, when device_map is not properly configured, or when docker run does not include the --gpus=all flag to expose GPU resources.","[Building Generative AI Services with FastAPI A Practical Approach to Developing Context-Rich Generative AI Applications (Alireza Parandeh) (z-library.sk, 1lib.sk, z-lib.sk).md] Configuring deep learning models to utilize GPU hardware acceleration requires specific device mapping parameters in the inference pipeline. The configuration enables parallel processing of text generation tasks on CUDA-ca",1555,tool instruction,,causal mechanism,1,,,,human,17.09.26
29,R029,Innovation Through Challenge to Assumptions,A brand innovation principle that emphasizes questioning surface-level market offerings to discover better solutions or approaches.,"When encountering a market offering that appears to satisfy consumer needs, question its underlying assumptions and actively search for alternative approaches that better address unmet problems.","The principle involves rejecting standard market solutions and actively searching for alternative approaches that better meet consumer needs, often by identifying problems that others have overlooked.",Applies when organizations seek to innovate by questioning established market approaches. Fails when the challenge to assumptions does not lead to viable solutions or when the market truly lacks alternative approaches.,"[Branding In Five and a Half Steps (Johnson, Michael).md] A brand innovation principle that emphasizes questioning surface-level market offerings to discover better solutions or approaches.",936,principle,creative process,causal mechanism,1,0.6,1,discipline also could be strategic thinking,human,17.09.26
30,R030,Digital Iconic Reproduction in Computer Graphics,A method of reproducing visual images through digital programming of iconic signs using Cartesian coordinate systems to map electron beam deflection on CRT screens.,When creating a digital image for a CRT display → program integer coordinates for each pixel to control electron beam deflection.,"The process digitally programs iconic signs by assigning integer coordinates in horizontal (x) and vertical (y) directions on a Cartesian grid superimposed on the CRT screen, allowing precise electron beam deflection to recreate visual expressions.",Applies to computer-based iconic reproduction systems using digital programming and CRT display technology. Fails when the system lacks proper coordinate mapping or electron beam control.,[[Umberto_Eco]_A_Theory_of_Semiotics.md] A method of reproducing visual images through digital programming of iconic signs using Cartesian coordinate systems to map electron beam deflection on CRT screens.,937,principle,computer graphics,causal mechanism,0.6,1,1,"its valid fact but irrelevant, CRT is already outdated so it could also example for quarantine, but since im interested in old tech can be still relevant",human,17.09.26
31,R031,Questionnaire Validation and Modification Risk,"A principle regarding the risks associated with modifying existing questionnaires, particularly when done by non-experts, and the distinction between formative and summative evaluation approaches.","When adapting a questionnaire for a new evaluation context → do validate the changes for summative use, but allow iterative, unvalidated tweaks for formative use.","Modifying questionnaires introduces risk of validity loss, with homemade or unvalidated modifications being acceptable in formative evaluation but not in summative evaluation due to their potential to compromise research integrity.",Applies when questionnaires are adapted for specific evaluation contexts. Fails when modifications are made without proper validation or when the distinction between formative and summative evaluation is ignored.,"[The UX book process and guidelines for ensuring a quality user experience Hartson, Rex_Pyla, Pardha S liber3.md] A principle regarding the risks associated with modifying existing questionnaires, particularly when done by non-experts, and the distinction between formative and summative evaluation approaches.",1115,principle,risk management,causal mechanism,1,0.8,1,the discipline could be also research methodology,human,17.09.26
