index,fb_id,name,status,your_verdict,notes
18,"df0182ffcc2b3dfd7d22d22dcc56a229234a94fcbf92e81140323f1e1c5117d4","Pattern Recognition Bias",PASS,,
19,"2d4bb095e710468392108befceae0df17a908e99fcff82f8a48f922774e5daee","Model Evolution Under Reality Shifts",PASS,,
20,"0404939e33e9fcb1ab1766742259532222add856e51c8d21aed514a5a0c3b043","Diagonalization Method (Cluster 21de480a50201d82b26d931bfd954df7c4b7fa303e146dc683a08eb4c08fd8ca)",PASS,,
21,"bd2b365f6fd13149c867874e4be6c697ddc0f31b35c9865353e4a73a3261be1f","Semantic Constraint Filtering",PASS,,
22,"d50a3b6760cee3c7556a863d725939566de32fee7cc532627a7f0999eb71a18e","Central Dogma Analogy",PASS,,
23,"4a98ac0a164b7eb19af4a106c84b47cbc0737e6c921b340b6b8455e8d0a37252","Chemical Labeling As Biological Signal",PASS,,
24,"5638284ecef1862814caa5bf3db48a754c0b2d4756d30f1e0d59eb7cf57e350e","Cross-domain Conceptual Transfer",PASS,,
25,"1582b8bfcf663c841894dc841e552e34db36ce88323b0e316664ca54a54d8a8d","Self-referential Inconsistency",PASS,,
26,"0753ba41e42c70e2b904f070216a99e554b83dfea8022937fda1a350fd7e157b","Symbolic Frame-actor Integration",PASS,,
27,"43d11f2b36772721d3098035e1772f4a206ca270f02a763a9891eed0fbabbcdc","Bottom-up Emergence",PASS,,
28,"8d9ffd06fd1c4e58501c57f053ac9daa402c2934162e464a02f4cf09e637564f","Meta-authorship in Computational Creation",PASS,,
29,"938d421def49167db5a6ad3818d8c71f06680ea1988ba49c1fe71a2c64adc90e","Self-referential Interpretation",PASS,,
30,"93fcd00ba88e39d085a1eca03aee4546f03e4ba0f0a738f46a46aa714ddfdbb4","Focusing and Filtering",PASS,,
31,"c2dc2a6db30e83d777dc670555119e0dff04b84f2590de9b072c33aac9229123","Subjective Counterfactual Processing",PASS,,
32,"b0a422b1b34ce0d5d963a9184b7731623ea3931d4fab675c872f9a3f814821e9","Modular Computational Cell",PASS,,
33,"ee300b2215e8a11078e5dd8580ec6732e9229c8b7b30c8787b2ccba3da79d783","Counterfactual Channel Addressing",PASS,,
34,"f8a905ce457dbb4aade09e23ec2c08d9ecacdf3556bab5c33ddf4f827d7e6682","Scarcity-driven Value Amplification",PASS,,
35,"a1de7519f9e84cca625626590ce435407c59754c33e354deaaeb846b95a8ecf9","Isomorphic Meaning Revelation",PASS,,
36,"d3f3738e682d3b64b24ac74a1d8fa888b0360e402e94e3cb7dad6b26a30617c5","Transformative Technology Integration",PASS,,
37,"1045b5686419eb9e9d76562aedafc71ae8b88bf81c8a320d47ef1d99c4d11470","Tangled Recursion and Intelligence",PASS,,
38,"6bdacde104a46f01a47e0146a435bde99c7a546d028c4811d845cd6c1319d360","Strategic Recognition Game",PASS,,
39,"4b99d5853f5920ed1c220f0f80551ce6b5f2bb2545fc36dd6c838471737b2d96","Computational Complexity and Search Space",PASS,,
40,"c240fc0b487db19864c88342885a0505c4fe487c1d3578b1f73c055c621f1039","Degenerate Solution",PASS,,
41,"4e9951e9452a3a84ce7a791ac5cd75b56ac37647a676280f1e898a68d08bccb9","Agent-based System Design",PASS,,
42,"aed1952ea9a1a53f559b3335e5c29e57b54a804f5e4d2afbe2d94fcd0bff1c6a","Asu-based Narrative Structure",PASS,,
43,"f95b8aea8343928e29814547ca4cdb6a80e83578ec97632abbd5689bdd36bc38","Linguistic Relativity and Cultural Context",PASS,,
44,"1a7e278085d346c562d798f950cc6352d3fcc6f3162e3fdb1c0fa96a0898f9a2","Long-term Value Investing",PASS,,
45,"fc9e3c10f307986b974933c96db1aa5ff37155f6f6d56bd353622b03b8255cbc","Self-referential System Limitation",PASS,,
46,"c0ece93c6dff7bd72459c72a0ec43299b3a89d2a1599c01eefcee5f772ca109b","Self-similar Recursive Structure",PASS,,
47,"c59332519b1a8417f4e01d44d68cb87608506f63994f334df310a6dc951dca85","Reliability As Protective Factor",PASS,,
48,"ffe404ff034a3afa8bc7794ae4124ef3608ba896aa2c647b31234b7c944fc032","Self-reference and Information Circularity",PASS,,
49,"22848246686f7731ba5fa0ed97db7b3dd1987d9661d795a4a401873fc2a785f8","Artificial Intelligence Limitations",PASS,,
50,"b71f37ac3a530bd43eed8191e20acf339d5641869ad3bd0e179303be48b4dd9e","Dualistic Thinking Transcendence",PASS,,
51,"2aace906774c17cd723fc2f470a44b02139daa688c00a09f44e9d92aecde67bf","Efficiency-over-identity Tradeoff",QUARANTINE,,
52,"b81199d76a02d4eb592ac772f65875c39a89336497c9ff0d18c274daf44c1093","Risk-Value Tradeoff in High-Stakes Decision",QUARANTINE,,
53,"a47cd891ede7b83aef9b05537072c21eb983aa3246a77fd872fd3c2f82916014","Scout Mindset Forecasting",QUARANTINE,,
54,"b1a18d021ef70416b38fd9db88c38fb78b485fb9a881ac0c11d21b364deb1df2","Unconscious Processing Advantage",QUARANTINE,,
55,"e71af4617ce33a467243a6ef0f05010c8d300e33d6abaaa15c6e79b2dd6d818e","Sustainable Speed in Systems",QUARANTINE,,
56,"206294189bf0e5d89220915c6140747343fb08e334749b5e02ef93f10d89800a","Economic Growth and Environmental Degradation",QUARANTINE,,
57,"ba3bd7cc59b98852819b209352e098f897ac390c951d1c4227e5f8c707271fa7","Leading Through Intent",QUARANTINE,,
58,"365681e7074e5a0056d0f8ded8773c0499ddeccdb80531c61af1ca05a42aa76d","Transformative Change Through Disruption",QUARANTINE,,
59,"24d77379ffa0b40cc96ef6e82724b27c02feba61ca2fa5afb4267e1676b44fb3","Probability As Estimation and Prediction",QUARANTINE,,
60,"1ed67be02a0964f19728f70555b9ff901b8ecc4e20491e6389f4339a959a1e3f","Cognitive Bias in Social Interpretation",QUARANTINE,,
61,"161bdcc5a2e6e76704d4b3d8fc76cab7bb0ef2e58611e9be3010d37cf43da116","Lollapalooza Effect",QUARANTINE,,
62,"6201b0174dc9d34a760978020ad028cde96855d5c0b136232b31e551e4d45f82","Fragility Through External Focus",QUARANTINE,,
63,"b5a4d47037ca66d7f6203b3f4a51e377af09a7b814a1ffd5190d1b74844f9638","Self-serving Bias in Organizational Behavior",QUARANTINE,,
64,"a1f30b48032fccce5777603fa86b3e78c710d2fb67faafd01a47cc5b9360dc3a","Collective Responsibility System",QUARANTINE,,
65,"295f15ec166da1009f86cb3b6b43022dbf4d2f534ba2e7b794216bda5b833c32","Progressive Disclosure",QUARANTINE,,
66,"6e410c8d75554068b3c4757f0439c5118342a97286645ffed0469a78cafeb782","Self-improving Agent Loop",QUARANTINE,,
67,"86a404381e24d577439fb3ee6f878efba6f66e1a5931aef95a844c0842cfc485","Multi-agent System Design",QUARANTINE,,
68,"5740a8f015ffb7f9742a8fb6173dc2d8bd100a782a830b70015d86c1d2d3a248","Agentic Ai Autonomy and Control",QUARANTINE,,
69,"f34632c4efe460889e0f23ac85e378ae339fbd573b72cde4c3327c4bd99350c7","Model Context Protocol",QUARANTINE,,
70,"f533f9161d8fdcb5375f2f3aa404add8b9bf572b56c5327b3387ffac4df9ec73","Ideological Bias Mitigation",QUARANTINE,,
71,"65f79217c675f6d3040f69a3202a24b874d6e6d2579c470bba4c2258e6c5b168","Framing Bias in Decision Making",QUARANTINE,,
72,"ffe2f05b90bed7e6293448621719822ba1127619e3bfe6d3c062ffeeb4a31582","Deprival Super-reaction Syndrome",QUARANTINE,,
73,"da6e0168d008832a34f164be9f8108c956ff4f953976e434a1ce517dcd03659f","Vision-driven Progress",QUARANTINE,,
74,"84e1af98e28771043946d116152eed47915b3da34e6a99d9a4c570710dfeaace","Loss Aversion in Performance Contexts",QUARANTINE,,
75,"cbbc2eafd1aff7180bee7c1847d9d89da1e74f313e79872ae252836b6b6a714f","Scout Mindset and Assumption Validation",QUARANTINE,,
76,"f9ac5a333704ea2138d6bc9aeaea84047049d804159799fd5ada1ddd17fc999f","Stakeholder Ecosystem Mapping",QUARANTINE,,
77,"67a2c09afdaf8804d34917d4d76e9c735bc9723dadd04bf581b02529fc59e891","Approximate Reasoning for Efficiency",QUARANTINE,,
78,"cd884591014a6fa9ef3983bf14e199ca98295749ceb6a01c5a9837f57c464d3e","Formal System Rule Compliance",QUARANTINE,,
79,"10b87df8c5745d7e6e0d6fcee42b40c41fa6b031ccc08734ed66f9f5cbb52877","Explicit Signal Protocol",QUARANTINE,,
80,"2429374a208a0a2bb965cffeac0d746497c6ea2209b0354b79d6a469becd0c56","Diagonalization Method",QUARANTINE,,
81,"a8d6b14ead64c1ebdb7621388d535cf08620ce8c7d6d2c4550c818a3fc3dd090","Diophantine Equation Definition",QUARANTINE,,
82,"f7d1b4b09cb0606833441ecd29811f3f2a5fb9c63c1238e7febbb7dda2207e45","Self-transcendence Fallacy",QUARANTINE,,
83,"3645351453ae082d2d30533cd5ebdba214fc76ac4ed32087256e9130b0a782b6","Origination Vs. Execution",QUARANTINE,,
84,"84410f4c9d3c7e5e7fa9804c2304eb8935889dbe5c4e9545ddb2769f853f7f6d","Awe-inducing Intelligence Perception",QUARANTINE,,
85,"2bce4965f062845fea185de12864ce221cb00d6c73c3c4b3d6d758bbe38d52bc","Mathematical Closeness and Isomorphism",QUARANTINE,,
86,"bf1060c2248599f7740226e02d075ea78009bf7fac2304da4eaeb698c8d6e6e7","Recursive Transition Network Grammar",QUARANTINE,,
87,"f7708705255d8dc299683dffe5c5c24f50c6cbf22c362e6859a3417a6744d5af","Outer Message Limitation",QUARANTINE,,
88,"5101af29f0e51147eab9c60f860d9d2379cda3d1b96b7f5db565ce67337ce09b","Symbolic Representation and System Complexity",QUARANTINE,,
89,"2c3f6b245b52aa481eddc3277b61868a122af37774d1e87bf0be4c0922d0e02b","Self-referential Barrier Crossing",QUARANTINE,,
90,"53f12de0a27aa1d3bfb49640646338c64a25a96802405d8915996cec1563d53f","Transcendent Awareness State",QUARANTINE,,
91,"81651a8b7f2245ea0b4bfb7317c586b96793f697a74fe0f08d36e6812b2bcf21","Symbolic Representation System",QUARANTINE,,
92,"38d298ca0cf8a2811a228db29cf0a69274f5f3ddbc29194a57f44931310996cd","Contextual Interpretation Failure",QUARANTINE,,
93,"887a5a3c458ad853ec8ba6eaf5628eb365819f51f012f8284029b975676a8629","Primitive Recursive Truth Representation",QUARANTINE,,
94,"2dcdb383357a0b2bad964cdda40375f0e76f152196c93ec9ef3b95aef28de2b1","Abstract Meaning Through Pattern Recognition",QUARANTINE,,
95,"892d115c738489dfc69b1f169859e78a1376f8de77706ffc2211d8431fa9f189","Self-referential Looping",QUARANTINE,,
96,"c459ee5c9f11cdd2bc86d3d2267c88e7583cbfdbbe9be2ca5c7061400b5e34d2","Self-reference Via Translation",QUARANTINE,,
97,"043fd45a20178ba05b0fc2a325814544ae69b139077020ed8278819254230a40","Symbolic Manipulation Limitation",QUARANTINE,,
98,"f4dc46d3668c8f54527fd4e32264f8f9cc539c046eae2b11065abf3447f4dc24","Mathematical Intuition",QUARANTINE,,
99,"42cc01f8c19f9ccc642cb67e3d91fc912a93024802ac84bbfe7ca221198e146b","Framework Flexibility Principle",QUARANTINE,,
100,"a5f7d72bcd259be08f0868ed8af3229c54c07483975352ba0ecd409fc72de0c2","Counterfactual Reasoning",QUARANTINE,,
101,"e63f140ef6e0c1425ce1db937e52cdfb2ec8bf517f0132da7b34951371cb9e32","Hypothetical Reasoning Foundation",QUARANTINE,,
