task,item_id,what_to_compare,QUESTION,allowed_answer,object_1_name,object_1_definition,object_1_application,object_2_name,object_2_definition,object_2_application,object_3_name,object_3_definition,other_members_in_group,source_text_excerpt,claimed_labels,HUMAN_VERDICT,HUMAN_confidence_0to1,HUMAN_note_codes,reviewer_date
T2_suffix_merge,T2-04,"base ""Data-driven Decision Making Framework""  vs  candidate ""Data-driven Decision Making Framework (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Data-driven Decision Making Framework,"Effective decision-making in complex systems requires integrating multiple data sources and analytical approaches to capture both quantitative trends and qualitative insights. The principle describes a structured methodology for combining statistical analysis, user experience feedback, and contextual factors to inform strategic choices.","When making strategic decisions that involve multiple data types → integrate empirical data, analytical methods, and contextual insights to inform the choice.",Data-driven Decision Making Framework (2),"Effective marketing research integrates practical case studies, software tools, and systematic data management to enable students and practitioners to translate research findings into actionable business decisions. The framework emphasizes hands-on learning through real-world applications and structured data handling processes.","When a marketing research curriculum or professional training program incorporates case-based learning, software tool integration, systematic data management, and practical application of findings, then it will produce participants who possess both technical data‑analysis skills and the ability to t",,,,,,merge,0.6,AMBIG:,17.09.26
T2_suffix_merge,T2-05,"base ""Commitment and Consistency Principle""  vs  candidate ""Commitment and Consistency Principle (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Commitment and Consistency Principle,"Once individuals commit to a small initial request or publicly declare values, they experience psychological pressure to remain consistent with that commitment in subsequent related requests. This creates a predictable pattern of compliance with larger requests that align with the initial commitment.","When a person publicly or privately commits to a small action or declares a value, they should be offered a larger, related request to increase compliance.",Commitment and Consistency Principle (2),A psychological principle where people have a strong tendency to remain consistent with their previous commitments and choices.,When a person publicly commits to a goal or decision → do anticipate a higher likelihood that they will follow through and remain consistent with that choice.,,,,,,merge,0.8,,17.09.26
T2_suffix_merge,T2-06,"base ""Ethical Ai Design Framework""  vs  candidate ""Ethical Ai Design Framework (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Ethical Ai Design Framework,"Effective AI systems require integrated ethical considerations embedded at every stage of development and deployment, rather than treated as an afterthought or compliance check. The principle emphasizes that ethical design is not optional but a foundational requirement for sustainable, trustworthy, and impactful AI solutions.","When developing an AI system for a product or service, embed fairness, transparency, accountability, and sustainability considerations into every design decision, from data collection to deployment, to ensure the system is trustworthy and socially responsible.",Ethical Ai Design Framework (2),"Effective AI product development requires integrating ethical considerations into every stage of the lifecycle, balancing bias mitigation with performance preservation while ensuring transparency and accountability. The framework emphasizes human welfare, fairness, and societal alignment as core design principles.","When developing an AI system → systematically ask critical questions about impact and potential harms, apply ethical frameworks to identify risks, and operationalize principles through structured design practices.",,,,,,merge,1,,17.09.26
T2_suffix_merge,T2-07,"base ""Social Proof Manipulation""  vs  candidate ""Social Proof Manipulation (3)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Social Proof Manipulation,"Communicating the prevalence of a behavior—especially negative behaviors—can inadvertently increase that behavior by leveraging social proof. When people see others engaging in a behavior, they are more likely to emulate it, particularly when the behavior is framed as common or acceptable.","When a public health or marketing message wants to reduce a harmful or ambiguous behavior, do emphasize that the behavior is rare or unpopular rather than common to avoid normalizing it.",Social Proof Manipulation (3),"Creating artificial displays of social validation or competitive positioning can influence perception of quality, performance, or desirability in both consumer and professional contexts. The principle describes a tactic where false or exaggerated social signals are generated to alter behavior or judgment.","When encountering a marketing claim that displays high customer ratings, long lines, or competitive benchmarks → do verify the authenticity of the social proof before trusting the signal.",,,,,,merge,0.8,TAXONOMY:one pure psychological the other is marketing pov,17.09.26
T2_suffix_merge,T2-08,"base ""Social Proof Bias""  vs  candidate ""Social Proof Bias (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Social Proof Bias,"People's decisions are influenced by observing others' actions, particularly when those actions signal social approval or shared interest. This principle describes how the presence of others' behavior can override individual preferences or initial intentions.",When observing others engage in a behavior or express interest → do adjust your own decision‑making to align with the perceived group norm.,Social Proof Bias (2),"The tendency for individuals to follow the actions or opinions of others in a group, especially when those actions are ambiguous or uncertain. This behavior is driven by the assumption that others' choices reflect correct or preferred responses.",When encountering a group making a decision under uncertainty → do use the group’s choice as a heuristic but also seek independent evidence before finalizing your own decision.,,,,,,keep,1,TAXONOMY: they are two separate  1st is about conformism the 2nd is about individual strategic decision making,17.09.26
T2_suffix_merge,T2-09,"base ""Human-ai Collaboration Framework""  vs  candidate ""Human-ai Collaboration Framework (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Human-ai Collaboration Framework,Effective AI implementation requires integrating human expertise with pre-built AI solutions to bridge capability gaps and accelerate adoption. The principle describes a hybrid approach where existing domain knowledge and AI tools work together to achieve outcomes that neither could deliver alone.,When an organization has domain expertise but limited AI development resources → combine human expertise with pre‑built AI solutions to accelerate adoption and improve outcomes.,Human-ai Collaboration Framework (2),"Human-AI systems operate through a structured interaction where AI handles routine tasks and data processing while humans provide strategic oversight, creative input, and contextual judgment. This framework enables humans to focus on uniquely human capabilities while leveraging AI for efficiency gains.","When designing a human‑AI system, assign routine data processing and pattern detection to AI while reserving strategic oversight, ethical judgment, and creative decision‑making for humans, and ensure clear role definitions and feedback loops.",,,,,,merge,1,,17.09.26
T3_content_type,T3-01,"object ""Audio-visual Integration in Motion Graphics""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Audio-visual Integration in Motion Graphics,"Motion graphics projects require coordinated handling of audio and visual elements to achieve seamless integration and professional-quality output. The principle governs how audio mixing, composition structure, and rendering processes must align to support effective post-production workflows.","When creating a motion graphics project in a single environment (e.g., After Effects) → ensure that audio and visual settings (time display, color handling, sampling rates) are matched, nest compositions consistently, and set rendering options that balance processing power and output quality to keep",,,,,,,,,quarantine,0.6,MULTI: it closer to a principle,17.09.26
T3_content_type,T3-02,"object ""Kolmogorov Σ-field Properties""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Kolmogorov Σ-field Properties,"A collection F of sets is a σ-field (or σ-algebra) if it is closed under complementation and countable unions, and includes the universal set and empty set.","When defining a probability space on a set of events → verify that the event collection is a σ-field by checking closure under complementation, countable unions, and inclusion of the universal set and empty set.",,,,,,,,,tool instruction,0.6,"seems like its an axiom, but it doesnt refered any concrete tool it can be also a principle",17.09.26
T3_content_type,T3-03,"object ""Cultural Synthesis in Motion Design""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Cultural Synthesis in Motion Design,"Motion design emerges from the synthesis of diverse cultural influences and artistic traditions, drawing from experimental film, animation, graphic design, music, and visual arts to create new aesthetic and conceptual frameworks. The principle describes how designers integrate cross-medium artistic elements into their work.","When a motion designer is planning a new project that aims to resonate with diverse audiences, integrate elements from experimental film, animation, graphic design, music, and visual arts into a cohesive storyboard and visual language.",,,,,,,,,principle,1,,17.09.26
T3_content_type,T3-04,"object ""Plan Generation with Foundation Models""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Plan Generation with Foundation Models,"A method for creating executable action sequences using foundation models through prompt engineering, where models generate ordered tool calls to solve user tasks.","When a user needs to automate a multi‑step task without writing custom code, prompt a foundation model with the task description and a list of available tool interfaces to generate an ordered sequence of tool calls that the agent can execute.",,,,,,,,,principle,1,,17.09.26
T3_content_type,T3-05,"object ""Alchemical Descent and Renewal Process""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Alchemical Descent and Renewal Process,"A transformative process where descent into suffering, death, and material reality leads to renewal and spiritual ascent through alchemical principles of dissolution and rebirth.","When a person experiences a profound crisis or loss that forces them to confront their deepest fears and limitations, they should intentionally engage in reflective practices (journaling, meditation, or guided therapy) that allow them to acknowledge and let go of old patterns before seeking new mean",,,,,,,,,principle,0.8,closer to principle than growth edge as its more parctical,17.09.26
T3_content_type,T3-06,"object ""Organizational Silos As Customer Experience Barriers""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Organizational Silos As Customer Experience Barriers,"Business organizational units structured around work functions that create barriers to understanding customer needs and experience, often leading to disconnected service delivery.",When an organization has functional units operating independently without customer experience integration → do align units around the customer journey and create cross‑functional teams to ensure customer needs are considered.,,,,,,,,,principle,1,,17.09.26
T3_content_type,T3-07,"object ""Innovation Mapping Process""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Innovation Mapping Process,A systematic approach for identifying market opportunities by creating new markets or substantially changing existing ones through targeted innovation strategies.,"When a company is looking to create a new market or radically transform an existing one → focus on specific market segments, identify unmet customer needs, and systematically analyze to design new market spaces or reshape current ones.",,,,,,,,,principle,1,,17.09.26
T3_content_type,T3-08,"object ""Nash Equilibrium Strategy""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Nash Equilibrium Strategy,"A strategy profile is in Nash equilibrium when each player's strategy is optimal given the strategies chosen by all other players. In equilibrium, no player can improve their outcome by unilaterally changing their strategy, assuming others remain fixed.","When analyzing a strategic interaction with complete information and rational players, identify the strategy profile that satisfies the best‑response condition and use it to predict stable outcomes.",,,,,,,,,principle,1,,17.09.26
T3_content_type,T3-09,"object ""Modular Text Representation and Retrieval""",What is the ROLE of this object? Judge from the text; any label you may remember is HIDDEN.,principle / process_template / process_instance / tool_instruction / growth_edge / noise_drop / quarantine,Modular Text Representation and Retrieval,"Text content is transformed into numerical token vectors that can be stored, indexed, and retrieved for analysis. These representations enable machines to process and understand textual information by mapping it into mathematical spaces where relationships between tokens can be computed.","When you need to perform semantic search or similarity analysis on large text corpora, convert the text into token vectors and store them in a vector database for efficient retrieval.",,,,,,,,,principle,0.8,"I feel this a principle than process template, but it still includes some steps, but over it descripes a concpet",17.09.26
T6_frontier69,T6-01,"object ""Prompt Response Iteration Framework""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Prompt Response Iteration Framework,A systematic approach to generating and organizing multiple prompt variants and their model responses in a structured format for analysis and comparison. The framework enables rapid experimentation and evaluation of different prompt designs by capturing each variant's output in a tabular format.,,,,,,,,"[AI Agents and Applications With LangChain, LangGraph, and MCP (Roberto Infante) (z-library.sk, 1lib.sk, z-lib.sk).md] A systematic approach to generating and organizing multiple prompt variants and their model responses in a structured format for analysis and comparison. The framework enables rapid experimentation and evaluation of different prompt designs by capturing each variant's output in a tabular format.","depth=specialized | discipline= | domains=['research & methodology', 'ai & agents']",not justified,1, discipline is  missing  research methodology is dscipline  not domain but lableled as domain that violates crosscontamination prevention!!! ,17.09.26
T6_frontier69,T6-02,"object ""Computational Automaton Stability Principle""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Computational Automaton Stability Principle,"A computational system requires a balanced regime of neither too chaotic nor too ordered behavior to produce reliable answers, with stable patterns emerging from initial conditions that have more ones than zeros.",,,,,,,,"[Complex Adaptive Systems An Introduction to Computational Models of Social Life (John H. Miller, Scott E. Page) (z-library.sk, 1lib.sk, z-lib.sk).md] A computational system requires a balanced regime of neither too chaotic nor too ordered behavior to produce reliable answers, with stable patterns emerging from initial conditions that have more ones than zeros.","depth=domain | discipline=computational theory | domains=['code & computation', 'systems & frameworks']",justified,1,OK,17.09.26
T6_frontier69,T6-03,"object ""Design Psychology Through Visual Analogy and Aesthetic Flow""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Design Psychology Through Visual Analogy and Aesthetic Flow,A design approach that uses visual analogies and controlled aesthetic flow to create deeper conceptual connections through micro associations.,,,,,,,,[Design by Nature Using Universal Forms and Principles in Design (Voices That Matter) (Maggie Macnab).md] A design approach that uses visual analogies and controlled aesthetic flow to create deeper conceptual connections through micro associations.,"depth=domain | discipline=design psychology | domains=['graphic design', 'brand identity', 'editorial & advertising']",justified,1,OK,17.09.26
T6_frontier69,T6-04,"object ""Intellectual Property Protection and Enforcement""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Intellectual Property Protection and Enforcement,"Legal mechanisms such as patents and trademarks provide formal protection for intellectual assets, enabling creators to control commercial use and prevent unauthorized imitation. These protections are enforced through public registries and legal action, creating a framework for managing competitive and reputational risks.",,,,,,,,"[Designing Brand Identity (Alina Wheeler, Rob Meyerson) (z-library.sk, 1lib.sk, z-lib.sk).md] Legal mechanisms such as patents and trademarks provide formal protection for intellectual assets, enabling creators to control commercial use and prevent unauthorized imitation. These protections are enforced through public registries and legal action, creating a framework for managing competitive and reputational risks.","depth=domain | discipline=law | domains=['legal & public policy', 'brand identity']",justified,1,OK,17.09.26
T6_frontier69,T6-05,"object ""Consistent Prompt Engineering""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Consistent Prompt Engineering,"Effective prompt engineering requires maintaining consistent structure, tone, and information across prompts to ensure reliable outputs and facilitate integration with automated systems. The principle emphasizes that variability in prompts leads to unpredictable results that complicate quality control and system integration.",,,,,,,,"[Knowledge Graphs and LLMs in Action (Alessandro Negro, Vlastimil Kus etc.) (z-library.sk, 1lib.sk, z-lib.sk).md] Effective prompt engineering requires maintaining consistent structure, tone, and information across prompts to ensure reliable outputs and facilitate integration with automated systems. The principle emphasizes that variability in prompts leads to unpredictable results that complicate quality control and system integration.","depth=specialized | discipline=generative ai | domains=['ai & agents', 'engineering practice']",justified,1,OK,17.09.26
T6_frontier69,T6-06,"object ""Generative Systems Creative Expression""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Generative Systems Creative Expression,"Machine learning systems can generate novel creative outputs such as artwork, text, music, and strategies by learning patterns from training data and synthesizing new content according to those learned structures. This capability represents a shift in how creative expression is produced, extending beyond human intuition to include algorithmic generation.",,,,,,,,"[Art in the Age of Machine Learning (Leonardo) -- Audry, Sofian_ Bengio, Yoshua -- MIT Press, Cambridge, Massachusetts, 2021 -- The MIT Press -- 9780262046183 -- 721846964ef38a20958f0dbcc1f20290 -- Anna’s Archive.md] Machine learning systems can generate novel creative outputs such as artwork, text, music, and strategies by learning patterns from training data and synthesizing new content according to those learned structures. This capability represents a shift in how creative expression is prod","depth=cross-domain | discipline=generative ai | domains=['computational art', 'code & computation']",justified,1,OK,17.09.26
T6_frontier69,T6-07,"object ""Basic Authentication Credential Format""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Basic Authentication Credential Format,User credentials in basic authentication are transmitted as a base64-encoded string containing a username and password separated by a single colon character. This format is standardized for HTTP authentication and is processed by the client and server using base64 decoding and colon splitting.,,,,,,,,"[Building Generative AI Services with FastAPI A Practical Approach to Developing Context-Rich Generative AI Applications (Alireza Parandeh) (z-library.sk, 1lib.sk, z-lib.sk).md] User credentials in basic authentication are transmitted as a base64-encoded string containing a username and password separated by a single colon character. This format is standardized for HTTP authentication and is processed by the client and server using base64 decoding and colon splitting.","depth=domain | discipline=information security | domains=['engineering practice', 'web & ui']",justified,1,OK,17.09.26
T6_frontier69,T6-08,"object ""Pseudo-event Text-in-the-making""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Pseudo-event Text-in-the-making,"Media texts that are constructed as ongoing, unscripted narratives create a 'text-in-the-making' that blurs the line between reality and fiction, generating pseudo-events for audience consumption. These texts function as both documentary and drama, reflecting real lives while simultaneously shaping them through their very production.",,,,,,,,"[[Marcel_Danesi]_Understanding_Media_Semiotics(z-lib.org).md] Media texts that are constructed as ongoing, unscripted narratives create a 'text-in-the-making' that blurs the line between reality and fiction, generating pseudo-events for audience consumption. These texts function as both documentary and drama, reflecting real lives while simultaneously shaping them through their very production.",depth=domain | discipline=media studies | domains=['media & entertainment'],not justified,0.8,,17.09.26
T6_frontier69,T6-09,"object ""Divine Proportion System""",Is the CLAIMED LABEL of this object justified by its own SOURCE TEXT excerpt?,justified / not_justified,Divine Proportion System,The divine proportion (φ ≈ 1.618) is a mathematical relationship where the ratio of the whole to the larger segment equals the ratio of the larger segment to the smaller segment. This proportion creates a harmonious geometric relationship that appears in both natural and designed systems.,,,,,,,,[Panofsky_Erwin_Meaning_in_the_Visual_Arts.md] The divine proportion (φ ≈ 1.618) is a mathematical relationship where the ratio of the whole to the larger segment equals the ratio of the larger segment to the smaller segment. This proportion creates a harmonious geometric relationship that appears in both natural and designed systems.,"depth=universal | discipline=computational geometry | domains=['graphic design', 'product design', 'science & research']",justified,1,OK,17.09.26
